Date,CEO1_tweet,CEO1_sentiment,CEO2_tweet,CEO2_sentiment,CEO3_tweet,CEO3_sentiment
2020-04-24,Tune in for our product reveal this week. Exciting updates to share! #CorporateUpdate,neutral,Today marks a historic moment as our next-gen technology achieves has shattered expectations. #PioneeringSuccess,positive,,
2020-04-27,"While facing supply chain disruptions, we're taking steps to leverage new opportunities. It's a critical time. #CriticalTimes",negative,,,Mark your calendars! Our product reveal is scheduled for next Friday. We have important news to share. #Announcement,neutral
2020-04-28,,,"While facing competitive pressures, we're taking steps to pivot our focus. It's a critical time. #CriticalTimes",negative,,
2020-04-29,"Due to supply chain disruptions, we have to pivot our focus. Your support is vital. #Unity",negative,Mark your calendars! Our product reveal is scheduled for next Friday. We have important news to share. #Announcement,neutral,Mark your calendars! Our stakeholder meeting is scheduled for next Friday. We have important news to share. #Announcement,neutral
2020-04-30,,,Tune in for our product reveal this week. Exciting updates to share! #CorporateUpdate,neutral,"Adapting to economic downturns is tough, but necessary. We're committed to continue our growth. #Resilience",negative
2020-05-01,Don't miss our upcoming earnings call during the recent industry conference. It's going to be informative. #StayTuned,neutral,,,,
2020-05-04,,,We're excited to host the press release next month. Join us to learn more about our progress. #OpenForAll,neutral,Breaking news: Our revolutionary app has revolutionized the industry by pushing boundaries. #MarketLeader,positive
2020-05-05,"Adapting to competitive pressures is tough, but necessary. We're committed to build on these successes. #Resilience",negative,,,We're excited to host the earnings call next month. Join us to learn more about our progress. #OpenForAll,neutral
2020-05-06,,,Exciting times! The launch of our revolutionary app has officially set a new standard. #InnovationLeadership,positive,,
2020-05-07,Exciting times! The launch of our latest model has officially set a new standard. #InnovationLeadership,positive,,,Don't miss our upcoming earnings call in our annual report. It's going to be informative. #StayTuned,neutral
2020-05-08,"Adapting to competitive pressures is tough, but necessary. We're committed to maintain our market position. #Resilience",negative,We're proud to announce that our innovative service is now has shattered expectations. Thanks to everyone involved! #TeamEffort,positive,,
2020-05-11,"While facing economic downturns, we're taking steps to diversify our approaches. It's a critical time. #CriticalTimes",negative,,,,
2020-05-12,"Due to competitive pressures, we have to pivot our focus. Your support is vital. #Unity",negative,Breaking news: Our next-gen technology has revolutionized the industry by leading the market. #MarketLeader,positive,,
2020-05-13,,,,,,
2020-05-14,The recent supply chain disruptions require us to leverage new opportunities. We believe in our path forward. #Determination,negative,Our cutting-edge solution is breaking new ground! A true testament to our commitment to excellence. #LeadingEdge,positive,Our innovative service is a game-changer! A true testament to our commitment to excellence. #LeadingEdge,positive
2020-05-15,Our latest model has shattered expectations! A true testament to our commitment to excellence. #LeadingEdge,positive,,,"Due to tightening regulations, we have to leverage new opportunities. Your support is vital. #Unity",negative
2020-05-18,We're proud to announce that our revolutionary app is now has just been launched. Thanks to everyone involved! #TeamEffort,positive,,,,
2020-05-19,"Due to supply chain disruptions, we have to double down on our core strengths. Your support is vital. #Unity",negative,,,Tune in for our press release this week. Exciting updates to share! #CorporateUpdate,neutral
2020-05-20,"Due to competitive pressures, we have to diversify our approaches. Your support is vital. #Unity",negative,Just a reminder about our product reveal tomorrow. We look forward to your participation. #EngageWithUs,neutral,Don't miss our upcoming stakeholder meeting in our latest webinar. It's going to be informative. #StayTuned,neutral
2020-05-21,,,,,,
2020-05-22,Challenging times ahead as we face supply chain disruptions. We're strategizing to double down on our core strengths. #StayStrong,negative,,,,
2020-05-25,,,,,,
2020-05-26,"While facing economic downturns, we're taking steps to pivot our focus. It's a critical time. #CriticalTimes",negative,,,,
2020-05-27,,,Our cutting-edge solution is breaking new ground! A true testament to our commitment to excellence. #LeadingEdge,positive,Tune in for our product reveal this week. Exciting updates to share! #CorporateUpdate,neutral
2020-05-28,"Due to economic downturns, we have to double down on our core strengths. Your support is vital. #Unity",negative,,,,
2020-05-29,Don't miss our upcoming stakeholder meeting during the recent industry conference. It's going to be informative. #StayTuned,neutral,We're proud to announce that our revolutionary app is now has shattered expectations. Thanks to everyone involved! #TeamEffort,positive,We're excited to host the press release next month. Join us to learn more about our progress. #OpenForAll,neutral
2020-06-01,,,Exciting times! The launch of our next-gen technology has officially set a new standard. #InnovationLeadership,positive,,
2020-06-02,,,Exciting times! The launch of our cutting-edge solution has officially set a new standard. #InnovationLeadership,positive,,
2020-06-03,Breaking news: Our cutting-edge solution has revolutionized the industry by capturing new territories. #MarketLeader,positive,Today marks a historic moment as our innovative service achieves has shattered expectations. #PioneeringSuccess,positive,,
2020-06-04,,,,,,
2020-06-05,,,,,Don't miss our upcoming partnership announcement in our annual report. It's going to be informative. #StayTuned,neutral
2020-06-08,Today marks a historic moment as our latest model achieves is breaking new ground. #PioneeringSuccess,positive,,,,
2020-06-09,,,Exciting times! The launch of our next-gen technology has officially set a new standard. #InnovationLeadership,positive,,
2020-06-10,,,,,We're excited to host the press release next month. Join us to learn more about our progress. #OpenForAll,neutral
2020-06-11,"Adapting to supply chain disruptions is tough, but necessary. We're committed to overcome these challenges. #Resilience",negative,,,,
2020-06-12,The recent competitive pressures require us to double down on our core strengths. We believe in our path forward. #Determination,negative,Don't miss our upcoming partnership announcement in our annual report. It's going to be informative. #StayTuned,neutral,,
2020-06-15,,,Today marks a historic moment as our latest model achieves is breaking new ground. #PioneeringSuccess,positive,We're excited to host the stakeholder meeting next month. Join us to learn more about our progress. #OpenForAll,neutral
2020-06-16,The recent economic downturns require us to pivot our focus. We believe in our path forward. #Determination,negative,We're excited to host the product reveal next month. Join us to learn more about our progress. #OpenForAll,neutral,"Adapting to tightening regulations is tough, but necessary. We're committed to build on these successes. #Resilience",negative
2020-06-17,,,Exciting times! The launch of our innovative service has officially set a new standard. #InnovationLeadership,positive,,
2020-06-18,Tune in for our partnership announcement this week. Exciting updates to share! #CorporateUpdate,neutral,Breaking news: Our latest model has revolutionized the industry by setting new standards. #MarketLeader,positive,,
2020-06-19,"Due to competitive pressures, we have to pivot our focus. Your support is vital. #Unity",negative,,,Just a reminder about our stakeholder meeting tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-06-22,"Adapting to tightening regulations is tough, but necessary. We're committed to overcome these challenges. #Resilience",negative,Breaking news: Our revolutionary app has revolutionized the industry by setting new standards. #MarketLeader,positive,,
2020-06-23,Today marks a historic moment as our next-gen technology achieves has just been launched. #PioneeringSuccess,positive,Today marks a historic moment as our latest model achieves has just been launched. #PioneeringSuccess,positive,,
2020-06-24,"While facing tightening regulations, we're taking steps to double down on our core strengths. It's a critical time. #CriticalTimes",negative,,,Don't miss our upcoming product reveal during the recent industry conference. It's going to be informative. #StayTuned,neutral
2020-06-25,Don't miss our upcoming stakeholder meeting in our latest webinar. It's going to be informative. #StayTuned,neutral,,,,
2020-06-26,,,Our innovative service is breaking new ground! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-06-29,Challenging times ahead as we face tightening regulations. We're strategizing to pivot our focus. #StayStrong,negative,,,,
2020-06-30,,,We're proud to announce that our revolutionary app is now has shattered expectations. Thanks to everyone involved! #TeamEffort,positive,Just a reminder about our product reveal tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-07-01,Today marks a historic moment as our innovative service achieves is breaking new ground. #PioneeringSuccess,positive,Our innovative service is breaking new ground! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-07-02,"While facing competitive pressures, we're taking steps to diversify our approaches. It's a critical time. #CriticalTimes",negative,,,,
2020-07-03,Mark your calendars! Our stakeholder meeting is scheduled for next Friday. We have important news to share. #Announcement,neutral,,,,
2020-07-06,,,,,,
2020-07-07,"While facing competitive pressures, we're taking steps to leverage new opportunities. It's a critical time. #CriticalTimes",negative,,,Challenging times ahead as we face tightening regulations. We're strategizing to double down on our core strengths. #StayStrong,negative
2020-07-08,"Due to economic downturns, we have to leverage new opportunities. Your support is vital. #Unity",negative,,,,
2020-07-09,,,,,Tune in for our earnings call this week. Exciting updates to share! #CorporateUpdate,neutral
2020-07-10,Challenging times ahead as we face economic downturns. We're strategizing to pivot our focus. #StayStrong,negative,"Adapting to supply chain disruptions is tough, but necessary. We're committed to continue our growth. #Resilience",negative,,
2020-07-13,"While facing economic downturns, we're taking steps to leverage new opportunities. It's a critical time. #CriticalTimes",negative,Today marks a historic moment as our cutting-edge solution achieves is a game-changer. #PioneeringSuccess,positive,,
2020-07-14,Challenging times ahead as we face competitive pressures. We're strategizing to diversify our approaches. #StayStrong,negative,,,Mark your calendars! Our press release is scheduled for next Friday. We have important news to share. #Announcement,neutral
2020-07-15,"Adapting to supply chain disruptions is tough, but necessary. We're committed to overcome these challenges. #Resilience",negative,,,Just a reminder about our press release tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-07-16,"While facing competitive pressures, we're taking steps to leverage new opportunities. It's a critical time. #CriticalTimes",negative,,,,
2020-07-17,,,Don't miss our upcoming stakeholder meeting in our annual report. It's going to be informative. #StayTuned,neutral,,
2020-07-20,,,,,,
2020-07-21,We're excited to host the earnings call next month. Join us to learn more about our progress. #OpenForAll,neutral,The recent supply chain disruptions require us to leverage new opportunities. We believe in our path forward. #Determination,negative,Don't miss our upcoming stakeholder meeting during the recent industry conference. It's going to be informative. #StayTuned,neutral
2020-07-22,We're proud to announce that our cutting-edge solution is now has just been launched. Thanks to everyone involved! #TeamEffort,positive,We're excited to host the stakeholder meeting next month. Join us to learn more about our progress. #OpenForAll,neutral,,
2020-07-23,"Adapting to tightening regulations is tough, but necessary. We're committed to build on these successes. #Resilience",negative,,,,
2020-07-24,Exciting times! The launch of our revolutionary app has officially set a new standard. #InnovationLeadership,positive,Our latest model has just been launched! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-07-27,"Due to competitive pressures, we have to diversify our approaches. Your support is vital. #Unity",negative,,,,
2020-07-28,"While facing tightening regulations, we're taking steps to diversify our approaches. It's a critical time. #CriticalTimes",negative,,,Just a reminder about our stakeholder meeting tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-07-29,Challenging times ahead as we face supply chain disruptions. We're strategizing to diversify our approaches. #StayStrong,negative,Today marks a historic moment as our latest model achieves is a game-changer. #PioneeringSuccess,positive,,
2020-07-30,,,Tune in for our product reveal this week. Exciting updates to share! #CorporateUpdate,neutral,,
2020-07-31,,,We're proud to announce that our revolutionary app is now is a game-changer. Thanks to everyone involved! #TeamEffort,positive,,
2020-08-03,,,,,,
2020-08-04,Just a reminder about our partnership announcement tomorrow. We look forward to your participation. #EngageWithUs,neutral,Exciting times! The launch of our latest model has officially set a new standard. #InnovationLeadership,positive,Our next-gen technology is a game-changer! A true testament to our commitment to excellence. #LeadingEdge,positive
2020-08-05,"Due to economic downturns, we have to diversify our approaches. Your support is vital. #Unity",negative,Exciting times! The launch of our latest model has officially set a new standard. #InnovationLeadership,positive,,
2020-08-06,The recent tightening regulations require us to double down on our core strengths. We believe in our path forward. #Determination,negative,,,Tune in for our product reveal this week. Exciting updates to share! #CorporateUpdate,neutral
2020-08-07,The recent economic downturns require us to pivot our focus. We believe in our path forward. #Determination,negative,,,,
2020-08-10,,,,,The recent supply chain disruptions require us to leverage new opportunities. We believe in our path forward. #Determination,negative
2020-08-11,We're proud to announce that our revolutionary app is now has just been launched. Thanks to everyone involved! #TeamEffort,positive,,,,
2020-08-12,,,,,,
2020-08-13,The recent supply chain disruptions require us to leverage new opportunities. We believe in our path forward. #Determination,negative,We're proud to announce that our latest model is now is breaking new ground. Thanks to everyone involved! #TeamEffort,positive,,
2020-08-14,Breaking news: Our latest model has revolutionized the industry by capturing new territories. #MarketLeader,positive,,,,
2020-08-17,,,,,We're proud to announce that our next-gen technology is now has just been launched. Thanks to everyone involved! #TeamEffort,positive
2020-08-18,,,,,,
2020-08-19,"While facing competitive pressures, we're taking steps to diversify our approaches. It's a critical time. #CriticalTimes",negative,We're excited to host the product reveal next month. Join us to learn more about our progress. #OpenForAll,neutral,Our cutting-edge solution is breaking new ground! A true testament to our commitment to excellence. #LeadingEdge,positive
2020-08-20,Our innovative service has shattered expectations! A true testament to our commitment to excellence. #LeadingEdge,positive,,,,
2020-08-21,The recent economic downturns require us to leverage new opportunities. We believe in our path forward. #Determination,negative,Our next-gen technology has just been launched! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-08-24,Mark your calendars! Our press release is scheduled for next Friday. We have important news to share. #Announcement,neutral,,,Don't miss our upcoming press release in our latest webinar. It's going to be informative. #StayTuned,neutral
2020-08-25,,,,,,
2020-08-26,"Due to economic downturns, we have to double down on our core strengths. Your support is vital. #Unity",negative,,,,
2020-08-27,Our revolutionary app is a game-changer! A true testament to our commitment to excellence. #LeadingEdge,positive,,,,
2020-08-28,The recent competitive pressures require us to pivot our focus. We believe in our path forward. #Determination,negative,Breaking news: Our innovative service has revolutionized the industry by pushing boundaries. #MarketLeader,positive,Don't miss our upcoming partnership announcement in our annual report. It's going to be informative. #StayTuned,neutral
2020-08-31,,,,,,
2020-09-01,"Due to tightening regulations, we have to pivot our focus. Your support is vital. #Unity",negative,Breaking news: Our innovative service has revolutionized the industry by driving success. #MarketLeader,positive,,
2020-09-02,"Adapting to economic downturns is tough, but necessary. We're committed to maintain our market position. #Resilience",negative,Today marks a historic moment as our latest model achieves is breaking new ground. #PioneeringSuccess,positive,,
2020-09-03,,,,,,
2020-09-04,"Due to competitive pressures, we have to diversify our approaches. Your support is vital. #Unity",negative,Exciting times! The launch of our cutting-edge solution has officially set a new standard. #InnovationLeadership,positive,,
2020-09-07,Don't miss our upcoming partnership announcement in our annual report. It's going to be informative. #StayTuned,neutral,Exciting times! The launch of our next-gen technology has officially set a new standard. #InnovationLeadership,positive,Just a reminder about our stakeholder meeting tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-09-08,"While facing supply chain disruptions, we're taking steps to double down on our core strengths. It's a critical time. #CriticalTimes",negative,Our cutting-edge solution is a game-changer! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-09-09,"Adapting to economic downturns is tough, but necessary. We're committed to maintain our market position. #Resilience",negative,,,,
2020-09-10,We're excited to host the partnership announcement next month. Join us to learn more about our progress. #OpenForAll,neutral,Exciting times! The launch of our cutting-edge solution has officially set a new standard. #InnovationLeadership,positive,,
2020-09-11,"While facing economic downturns, we're taking steps to double down on our core strengths. It's a critical time. #CriticalTimes",negative,,,,
2020-09-14,,,,,,
2020-09-15,,,Today marks a historic moment as our cutting-edge solution achieves has shattered expectations. #PioneeringSuccess,positive,,
2020-09-16,Just a reminder about our partnership announcement tomorrow. We look forward to your participation. #EngageWithUs,neutral,,,,
2020-09-17,,,"Adapting to tightening regulations is tough, but necessary. We're committed to continue our growth. #Resilience",negative,,
2020-09-18,,,,,Breaking news: Our cutting-edge solution has revolutionized the industry by leading the market. #MarketLeader,positive
2020-09-21,We're proud to announce that our revolutionary app is now has just been launched. Thanks to everyone involved! #TeamEffort,positive,,,Just a reminder about our product reveal tomorrow. We look forward to your participation. #EngageWithUs,neutral
2020-09-22,"Adapting to supply chain disruptions is tough, but necessary. We're committed to continue our growth. #Resilience",negative,Our latest model has just been launched! A true testament to our commitment to excellence. #LeadingEdge,positive,,
2020-09-23,"Due to competitive pressures, we have to leverage new opportunities. Your support is vital. #Unity",negative,"Due to supply chain disruptions, we have to double down on our core strengths. Your support is vital. #Unity",negative,,
2020-09-24,Don't miss our upcoming stakeholder meeting in our annual report. It's going to be informative. #StayTuned,neutral,Today marks a historic moment as our revolutionary app achieves has just been launched. #PioneeringSuccess,positive,,
2020-09-25,,,Breaking news: Our cutting-edge solution has revolutionized the industry by capturing new territories. #MarketLeader,positive,,
2020-09-28,Today marks a historic moment as our next-gen technology achieves has shattered expectations. #PioneeringSuccess,positive,We're proud to announce that our latest model is now is breaking new ground. Thanks to everyone involved! #TeamEffort,positive,,
